Year,Town,Census Units,Government Assisted,Tenant Rental Assistance,Deed Restricted Units,Total Assisted Units,Percent Affordable
2020,Andover,1317,18,1,0,51,3.87
2020,Ansonia,8148,349,764,0,1260,15.46
2020,Ashford,1903,32,0,0,68,3.57
2020,Avon,7389,244,16,0,304,4.11
2020,Barkhamsted,1589,0,6,0,29,1.83
2020,Beacon Falls,2509,0,4,0,50,1.99
2020,Berlin,8140,556,50,4,752,9.24
2020,Bethany,2044,0,2,0,15,0.73
2020,Bethel,7310,192,26,87,459,6.28
2020,Bethlehem,1575,24,0,0,33,2.1
2020,Bloomfield,9019,558,106,0,1005,11.14
2020,Bolton,2015,0,2,0,30,1.49
2020,Bozrah,1059,0,3,0,33,3.12
2020,Branford,13972,233,77,9,489,3.5
2020,Bridgeport,57012,6505,4353,19,11777,20.66
2020,Bridgewater,881,0,24,0,25,2.84
2020,Bristol,27011,1908,962,0,3994,14.79
2020,Brookfield,6562,155,27,77,369,5.62
2020,Brooklyn,3235,189,9,0,263,8.13
2020,Burlington,3389,27,0,0,74,2.18
2020,Canaan,779,1,4,1,11,1.41
2020,Canterbury,2043,76,1,0,145,7.1
2020,Canton,4339,211,15,32,311,7.17
2020,Chaplin,988,0,1,0,38,3.85
2020,Cheshire,10424,258,22,17,397,3.81
2020,Chester,1923,23,3,0,42,2.18
2020,Clinton,6065,105,8,0,179,2.95
2020,Colchester,6182,364,38,4,552,8.93
2020,Colebrook,722,0,1,1,9,1.25
2020,Columbia,2308,24,2,0,88,3.81
2020,Cornwall,1007,28,2,0,36,3.57
2020,Coventry,5099,103,5,20,259,5.08
2020,Cromwell,6001,212,11,0,421,7.02
2020,Danbury,31154,1615,1269,289,3738,12
2020,Darien,7074,136,10,104,252,3.56
2020,Deep River,2096,26,6,0,64,3.05
2020,Derby,5849,275,301,0,687,11.75
2020,Durham,2694,36,1,0,65,2.41
2020,East Granby,2152,72,2,0,122,5.67
2020,East Haddam,4508,73,3,0,139,3.08
2020,East Hampton,5485,70,6,25,192,3.5
2020,East Hartford,21328,1593,815,0,3443,16.14
2020,East Haven,12533,542,168,0,1012,8.07
2020,East Lyme,8458,396,20,19,530,6.27
2020,East Windsor,5045,559,42,0,717,14.21
2020,Eastford,793,0,0,0,15,1.89
2020,Easton,2715,0,0,15,18,0.66
